Team,Season,Total_Payroll,Win_%,division_winner,playoff_appearance,world_series,world_series_winner,WAR,P_WAR,PP_WAR
New York Mets,2023,"$334,233,332.00 ",0.488,FALSE,FALSE,FALSE,FALSE,29.31,11.01,18.3
New York Mets,2024,"$301,731,074.00 ",0.543,FALSE,TRUE,FALSE,FALSE,39.39,14.07,25.32
New York Mets,2025,"$315,000,000.00 ",0.512,FALSE,FALSE,FALSE,FALSE,46.03,16.99,29.04
Oakland Athletics,2015,"$86,086,667.00 ",0.42,FALSE,FALSE,FALSE,FALSE,24.37,13.03,11.33
Oakland Athletics,2016,"$80,279,166.00 ",0.42,FALSE,FALSE,FALSE,FALSE,19.13,13.67,5.46
Oakland Athletics,2017,"$81,738,333.00 ",0.463,FALSE,FALSE,FALSE,FALSE,26.55,9.55,17
Oakland Athletics,2018,"$68,530,000.00 ",0.599,FALSE,TRUE,FALSE,FALSE,42.86,13.46,29.54
Oakland Athletics,2019,"$92,000,000.00 ",0.599,FALSE,TRUE,FALSE,FALSE,43.94,18.76,25.19
Oakland Athletics,2021,"$74,615,000.00 ",0.531,FALSE,FALSE,FALSE,FALSE,38.29,14.71,23.58
Oakland Athletics,2022,"$32,548,334.00 ",0.37,FALSE,FALSE,FALSE,FALSE,8.26,3.29,4.98
Oakland Athletics,2023,"$43,145,000.00 ",0.309,FALSE,FALSE,FALSE,FALSE,7.36,1.15,6.21
Oakland Athletics,2024,"$47,905,000.00 ",0.426,FALSE,FALSE,FALSE,FALSE,24.82,11.31,13.51
Oakland Athletics,2025,"$55,000,000.00 ",0.469,FALSE,FALSE,FALSE,FALSE,29.39,8.56,20.84
Philadelphia Phillies,2015,"$135,827,500.00 ",0.389,FALSE,FALSE,FALSE,FALSE,19.08,10.29,8.79
Philadelphia Phillies,2016,"$133,048,000.00 ",0.438,FALSE,FALSE,FALSE,FALSE,21.26,13.91,7.35
Philadelphia Phillies,2017,"$111,378,000.00 ",0.426,FALSE,FALSE,FALSE,FALSE,25.2,14.33,10.87
Philadelphia Phillies,2018,"$96,850,000.00 ",0.494,FALSE,FALSE,FALSE,FALSE,30.13,18.13,12
Philadelphia Phillies,2019,"$168,000,000.00 ",0.5,FALSE,FALSE,FALSE,FALSE,26.63,8.5,18.13
Philadelphia Phillies,2021,"$174,009,000.00 ",0.506,FALSE,FALSE,FALSE,FALSE,40.07,21.64,18.42
Philadelphia Phillies,2022,"$221,738,462.00 ",0.556,FALSE,TRUE,TRUE,FALSE,35.38,12.89,22.49
Philadelphia Phillies,2023,"$232,424,939.00 ",0.568,FALSE,TRUE,FALSE,FALSE,38.02,16.25,21.77
